Url;World rank;Overall Visits;Time On Site;Pages per Visit;Bounce Rate;Organic Search;Country 1;%;Country 2;%;Country 3;%;Country 4;%;Country 5;%
yikyak.com;5,528,487;5.44K;00:00:11;1,17;23.28%;0;United States;59.48%;France;15.28%;New Zealand;7.36%;Sweden;5.43%;Egypt;4.19%
zapier.com;5,570;7.3M;00:05:43;7,71;49.55%;53;United States;32.64%;United Kingdom;7%;Brazil;5.18%;Canada;3.58%;Spain;3.21%
zumata.com;5,414,626;2.9K;00:02:55;3,11;34.26%;25;United States;25.45%;Singapore;23.56%;India;15.76%;Sweden;9.26%;Russia;6.63%
zombiesrungame.com;350,320;112.99K;00:02:10;3,45;52.39%;32;United States;43.86%;United Kingdom;7.78%;Canada;5.77%;Germany;5.31%;Australia;4.42%
