Url;World rank;Overall Visits;Time On Site;Pages per Visit;Bounce Rate;Organic Search;Country 1;%;Country 2;%;Country 3;%;Country 4;%;Country 5;%
diycode.cc;110,662;50K;1:25;1.10;88.20%;46.00%;China;64.6%;United States;5.6%;India;3.8%;Hong Kong;2.3%;Australia;1.8%
oldjpg.com;2,060,106;69K;1:29;1.00;90.00%;40.00%;;;;;;;;;;
